,business_id,cool,date,funny,review_id,stars,text,type,useful,user_id
31,uGykseHzyS5xAMWoN6YUqA,0,2010-10-19,0,BfPKrRDzpeQsljyxMa5sSA,5,Very nice and clean place to have breakfast or lunch,review,0,8lvmjewvLCwnbfwNoE-Xyg
32,uGykseHzyS5xAMWoN6YUqA,0,2010-12-04,0,HAFNOdoQEluZxGDshb7vOQ,5,I eat here regularily because it is consistently good.  Very large menu which makes it tough to choose but never disappointed!,review,1,u5xcw6LCnnMhddoxkRIgUA
34,uGykseHzyS5xAMWoN6YUqA,0,2011-06-19,0,64ruCMTy3YpUfK33GS8weg,5,"Homestyle cooking at its best, dnt go to culvers, McDonald's or whatever trash is right off the hwy, head a bit further down u will find this gem, one of the reasons I love this place so much? They dnt play annoying music, scratch that, they don't play ANY music. People working here are super nice as to be expected. If I owned this joint, I would invest in a new bigger sign, as I drove right by this place and almost missed it twice.",review,0,KT1F97KjezOZlIboOq7Krw
36,uGykseHzyS5xAMWoN6YUqA,0,2011-09-06,0,rEmo-x2TEkgGlTUZHc2PKQ,5,"Love their breakfast menu & they have friendly waitstaff. We go there nearly every Friday for the last 4 yrs.  I love that they don't play any music.  It is quiet, conversational, and comfortable.",review,0,q2_xNGF6nhsOoD2NpOa5dg
43,LRKJF43s9-3jG9Lgx4zODg,1,2007-12-31,0,xjyVKwC1azTtDLrShQBthQ,5,"Californians are all about the In-N-Out, where you can get your burger animal style. And the Midwest is all about Culver's, where the Butter Burger is the thing to order.

C. and I ate lunch here on our way between Milwaukee and Mosinee before going to my folks for Christmas. I got a cheddar burger with fries, and C. got the two-piece chicken dinner with mashed potatoes and green beans.

That's one of the things I love about Culver's. Yes, it's a fast food restaurant. But they also do family restaurant food well. The chicken was good and the green beans really fresh, C. said. Fast food you can feel good about.

I also got a frozen custard, their flavor of the day: Swiss almond Christmas or something like that. Chocolate custard with slivered almonds. Yummo.",review,1,Ue3hmkbr-pVaiqiCnxInQg
45,LRKJF43s9-3jG9Lgx4zODg,0,2008-12-20,0,nmX7lMtrsWw_z6i6Nt5ltA,5,"Next to Chick-Fil-A, Culver's is my fav fast food chain.  Rarely is a snowboarding trip complete without Culver's to top off the day.

The butter burgers hit the spot (though mine was heavy on the red onions; good thing those are easily removeable), and the fried cheese curds are to die for.  You don't find those floating around just anywhere.  But if there is anything you MUST get, it's a cup of the frozen custard.  Damn, that's good stuff.",review,1,2sklUYBnk7LxzM-11yPUPg
46,LRKJF43s9-3jG9Lgx4zODg,1,2010-01-05,1,iEkq9MFkcop1_CVnl-INSA,5,"Go-to meal: cheddar butter burger, fried cheese curds, and flavor of the day custard.

The difference between a deluxe burger and cheddar butter burger is that in the deluxe, you'll get American cheese.  And you have to pay 25 cents extra to add lettuce, tomato, etc. to the cheddar butter burger.  File that away in your memory bank.",review,0,2sklUYBnk7LxzM-11yPUPg
49,LRKJF43s9-3jG9Lgx4zODg,0,2012-11-03,0,kzFlI35hkmYA_vPSsMcNoQ,5,Love it!!!!! Love it!!!!!! love it!!!!!!!   Who doesn't love Culver's!,review,0,WsGQfLLy3YlP_S9jBE3j1w
51,RgDg-k9S5YD_BaxMckifkg,0,2010-12-04,0,ZYaS2P5EmK9DANxGTV48Tw,5,I really like both Chinese restaurants in town.  This one has outstanding crab rangoon.  Love the chicken with snow peas and mushrooms and General Tso Chicken.  Food is always ready in 10 minutes which is accurate.  Good place and they give you free pop.,review,0,u5xcw6LCnnMhddoxkRIgUA
66,ZW2WeP2Hp20tq0RG1NFkoQ,0,2014-07-04,0,-OiuD6jbmiz7F0hghDRezQ,5,"I was super nervous about using these guys due to the poor reviews, but I have a home warranty and the company chooses who we work with- I didn't have a choice.  I was pleasantly surprised.  We actually had to cancel our first appointment because we were having some major electrical work done that morning and the power was shut off at the time the appointment was supposed to be.  THEY actually called us a little later in the afternoon to find out how things were going and asked when they could send someone out.  They came out on time and got right to work.  The technician was nice and knowledgeable and explained to me that our A/C was shot (bad compressor and burned out wires- we were worried this might be the case after he said it was almost 20 years old).  I was glad to hear he knew about the warranty process and explained how that would all work too.  

So far, so good.  I'll be sure to update my review when they actually repair or replace the A/C (it's pending approval from the warranty company at the moment).",review,0,3T2Dr5fnsWDmudQM1Hhy7A
81,rdAdANPNOcvUtoFgcaY9KA,0,2012-02-08,0,fDkHtO1eBepMZoV-qmru3g,5,We love this place!  This restaurant has excellent food!  It has been family owned for years and that is what makes the difference.  Love being regulars here!  Friday night fish fries are always good.  Scallops are really worth trying.  Salads are always fresh.  Chili is very thick and meaty. This place and staff are always welcoming even when you arrive by boat!  Highly recommend it.  Be sure to  check out their specials on their awesome website!  http://www.thegreenlanternrestaurant.com.,review,0,Jv6lq527bHVW1EbrqzZXag
82,rdAdANPNOcvUtoFgcaY9KA,0,2012-03-12,0,gOq_YZPXNiET51Xsoxa9WQ,5,"Looking for ""that"" spot where the moment you walk in, you fit in?  

Looking for a home cooked meal...without having to lift a finger? 

Looking for a place to pop a squat and shoot the shit?

Look no further than the Greenie!  

Breakfast, lunch, happy hour or dinner....it always fills the bill. 

Love taking the family there for weekend breakfast.  From the waffle sundae for my youngest to the seafood omelet for me...they have it all.  Huge portions...great prices! 

Swing in and ask for my favorite bartender, Joy to make you her ultimate bloody mary made with Effen Cucumber Vodka.  Yeah...she rocks it.  

It's all good...",review,0,I7dYsjvl3b66gL4KhOjVIw
84,rdAdANPNOcvUtoFgcaY9KA,0,2012-04-11,0,xOO8goBBxpYexbUxOIRj7Q,5,Life is good. In bloody mary heaven. Joy's not bad either :-),review,0,rWEDVOMa0X4Qhw4wropxig
92,rdAdANPNOcvUtoFgcaY9KA,1,2013-03-07,0,LVeiA1ImqGzoYXnZQsohhQ,5,"FISH FRY was OUT OF THIS WORLD! I read an article in Madison magazine about how this place had one of the best fish fry's in town and decided to try it out! What a gem! First, The fish fry comes with salad and a side. Super Nice.  Secondly, they must have the world's best tartar sauce! I could literally drink the stuff. Third, I took five people here who all had the fish fry and drinks and it only set me back 60 Bucks! WOW! I will be back!",review,0,SEJWhA6MRIavK4b3pGxwTg
94,rdAdANPNOcvUtoFgcaY9KA,1,2013-03-18,0,LF8brFVyF0tFSrgo16JK2Q,5,"Stopped in for a dinner after getting a recommendation from a co worker and we were VERY impressed!  It was fairly quiet on a Thursday night - no problem getting a table.  The location is fabulous being right on the lake with views.  The ambiance is very much a north-woods tavern restaurant type establishment - older decor, a little kitschy, though it suits the place, well.

Green Lantern has a reputation of being a surf-turf and they do it well!

I had the Ahi-tuna - it was an incredibly delicate piece of fish cooked perfectly.  My wife had a steak which was also prepared very well.  We are DEFINITELY coming back!

The server, while young and a bit 'nervous', did a fine job and she was very pleasant.  She also provided great suggestions for food pairings!  Well done :)

Hint:  Ask for a seat by the window to get a view of the lake.
hint hint:  The location, ambiance, and setup is VERY family and kid friendly!  They were hosting a birthday party for a grandmother while we were there and the staff bent-over backwards for the family and party - including setting up a powerpoint projector for family slide show and music!  Very sweet....",review,1,cBBarVpwP94MsS63W4KKZg
96,rdAdANPNOcvUtoFgcaY9KA,0,2013-07-11,0,rcG9oWtCrDertb1Bn9j54A,5,"Any place that's located on a lake for a fish fry is alright with me.. It's packed on Friday which means you get to have a few cocktails while waiting for a table, the wait is worth it... Don't hesitate to try this place out you won't be disappointed..",review,0,6MYEMoBDkhNj76KA_hzEyw
99,rdAdANPNOcvUtoFgcaY9KA,0,2014-05-04,0,RxfRqqOPVdM0B9PiWq-Oow,5,"The Lantern doesn't profess to be anything more than it is. Good American, wisco supper club fare. Prices are very good, and they know how to cook a steak to temperature. Bloody Mary's are great as they allow you to add your own seasonings to taste.  Decent wine selection by the glass.  They even have sambuca. 
Try the surf n turf. Very good at a great price. 
Also fried chicken. 
Solid choice, and nicest place on lake waubesa.",review,0,ibeYRWmFst05FZfo5vo_aQ
102,ZlhAvs_6ryi4_efZ1SpMbg,1,2010-08-19,0,3uP9MHI1IC-zP2FSbA9VcQ,5,"Spartan Animal Hospital is a fantastic place. I am a seriously poor college grad and I took my new cat (from the shelter) to Spartan for her rabies and FVRCP booster shots today. I was really impressed with the staff and the facility. The people were extremely friendly and were patient and willing to answer all of my questions. They gave me a folder full of good information and the home phone number of Dr. C, the owner, in case of non-office hour emergencies. That's dedication.

The best part about Spartan is that they don't charge the regular office fee if you're just coming in for vaccinations! It's a rare thing to be pleasantly surprised at a cash register, isn't it?

I highly recommend Spartan to you!",review,1,R9W6whtG5GagjzJ4yrRvqQ
103,_wZTYYL7cutanzAnJUTGMA,2,2009-02-01,2,XQ8-CgwKZ6_dUnEiqbC-bw,5,"What could I possibly say about the Beach House Restaurant and Lounge?  I guess I could think of a few things.

I went there today for the first time and was dazzled by the charm it flaunted, while still maintaining the gritty edge of a backwoods Wisconsin eatery.  Let's not get it twisted folks, we're not breaking gastronomic ground here.  What we are breaking are your misconceptions of what a restaurant can be whose parking lot is largely composed of Chevy and Dodge trucks, and whose front, snow-covered, lawn is full of snowmobiles.  Deal with it kids, this is that slice of Midwest Americana you've been looking for in any number of wayside eateries in rural America.  Fish fry anyone?

To begin, let me explain that one of the many draws for the Beach House's patrons is the fact that it is still legal to smoke indoors in McFarland.  I stepped inside and was immediately made aware of this fact as plumes of smoke took up residence in my clothes and nose.  

Do not fear, however, there is a separate dining room that is nonsmoking.  And man was this separate dining room packed (Superbowl Sunday).  Packed with large women squeezing into convention center chairs.  Packed with waitresses who wore skin tight white Jordache jeans, giving you a fleeting sense of their giving nature.  Packed with the eager anticipation of an entire day spent watching football and football-related activities: drooling, eating, drinking, and smoking.  God bless America.

The AM dish to get here is the Walleye and eggs breakfast.  I would tend to agree, although their limited selection of omelets is made marginally more tasty by the addition of broccoli (you heard me punk).  As breakfast wore on, the dining room filled, emptied, and filled again; the waitstaff eagerly setting new places, removing paper place settings, calling people darlin' and hon'(always appreciated).

So give it to me hard backwoods Wisconsin.  Give me every sinew of your being: your ice fishing, snowmobiling, smoking, bloody Mary drinking, being.  Just be.  And give me a friggin' huge piece of deep fried walleye to help me digest the spectacle, with scrambled eggs on the side.  And don't you dare forget the tartar sauce.",review,4,idQx85xfiIm_SGTnDsaXcQ
106,_wZTYYL7cutanzAnJUTGMA,0,2010-11-17,0,oNGB_xrmru6V1cZ3dNgOiA,5,"Amazing Friday night FISH FRY! I got out a lot for fish fry's in Madison and the surrounding area and this still remains my favorite. I usually get the Cod dinner, which is always cooked perfect, not too soggy or too crispy, which comes with a side AND a soup or salad for only $9.95. I always recommend the Beach House when someone is looking for a GREAT fish fry! :)",review,0,0mwYO5iiTpzWnaSjuKWMIQ
109,_wZTYYL7cutanzAnJUTGMA,1,2011-02-24,0,tbOkGJbrvc_cRAKC9TZ25A,5,"I have not Yelped in quite a while and to all my fans (all none of you)...sorry.  So I will start on a positive note...

So I have been to the Beach House so many times I feel dumb reviewing it but I am so deal with it and go there.

If you are going for drinks...do it.  The clientele is awesome and you will always hear some great stories.  But this review is for the food.  ALWAYS AMAZING!  We went for breakfast the other day for the first time in a long time and it was as good as I remember.  The Eggs Benedict are just delicious and something I could eat every day and they make one hell of a Bloody Mary (so I am told by my wife since I do not like them) if your interest in that.

So if you want some good breakfast on the weekend and in the McFarland area...Breach House it is!",review,0,RueYG7VZjO5HjJz9DD3YsA
114,_wZTYYL7cutanzAnJUTGMA,0,2011-08-27,0,ViUdEYgjC7J7_Qbxfdw45w,5,"We live just down from the Beach House.  We love going there. They are super friendly. We usually do not have to wait to be seated. The weekend breakfasts are the best. Bloody Marys are outstanding. Love the crab cakes eggs Benedict. Yum! Huge portion of walleye with your eggs which is one of my friends favs when they come visit. It is a great local hangout too, beautiful view, easy parking for your boat from lake waubesa. We recommend it always!",review,1,TBi0Rvegjtd-bHd9vC0ryA
116,_wZTYYL7cutanzAnJUTGMA,0,2012-01-29,0,PFItDgxbkgkUI5WfCy3e3Q,5,"I use to boat in this area alot.  I always made this place to stop for  breakfast. very good.   They are know for there Walleys and eggs,  Some people even like a bloody mary or vodka and orange served with them.  Anything on the menu is good.  Nice place on the water.  You can come by boat or car.  If you come by boat a nice little ride over to Madison area makes it a fun day.",review,0,QJPOP71pcBwdT2tD7CNrzg
117,_wZTYYL7cutanzAnJUTGMA,0,2012-02-08,0,3OMtQG0DF7IqzEDYZYYmiw,5,"We love the Beach House.  We come here often.  Food is always good.  Drinks are made by some really awesome people!  Specials are always worth a look. Weekend breakfasts are very popular, so come early.  Try the walleye/eggs.  Or the crab/eggs benedict.  Very very good!!",review,0,Jv6lq527bHVW1EbrqzZXag
134,XrzTVrJAjs0yYLvhFI9vkQ,2,2010-04-20,0,SYYjswplCko1HyE-ZGdocg,5,"I have no idea why no one has reviewed this awesome B&B but i'm excited to be the first...perhaps no one wants to let anyone in on the secret...and i thought about not writing the review for that same reason but i have to share this one with my fellow yelpsters. I wanted to celebrate the wife's bday with a quick getaway but didn't want to stay in the usual hotel. so i popped ""lgbt friendly B&Bs"" into google and this place came up. they had a few rooms to choose from but of course the one with the hot tub in the room caught my eye first. i emailed them through the website and the owner Craig got back to me quickly. I reserved the room and then just had to wait until the day arrived. Even though we were arriving earlier than the 3PM check in, Craig was awesome and left a personalized letter and the keys to the house in the mailbox for us to let ourselves in. we put our stuff in the room and when we came downstairs the owners, Craig and Cathy were there and welcomed us to the house, even remembering that we were there for a surprise birthday trip. the house was clean and the room was nicely done. it was definitely more cozy than any hotel room could have ever been, the bed was so comfortable we almost napped thru our dinner reservation! the hot tub was definitely the highlight of the Mentor room, the massage jets were awesome and were so relaxing! in the AM Craig made an awesome breakfast complete with bacon, an egg souffle and a homemade Kringle that was absolutely delish! i couldn't have picked a better place to celebrate my gf's birthday! from the second i made the reservation until the moment we checked out, Craig and Cathy made us feel at home and provided top knotch service to us. If I'm ever in need of a quick getaway to Madison I know exactly where I will stay!!",review,5,C6jV8yFHlfZLWvsysaQ0VA
137,XrzTVrJAjs0yYLvhFI9vkQ,0,2011-11-08,0,jdArepQVwaKx7PSl0A8RKA,5,"Goodbye Hotels!  After this cozy little place I'm a bed and breakfast faithful.  

Our host, Craig, was wonderful.  It was super easy to make the arrangements and the website was helpful.  The place itself gave me the same joy I remember having when I would go see grandparents as a child.  That feeling of a warm house.  Oh, did I mention that when we first entered the whole house smelled of breakfast from that morning.  

The bed half of the name was extra comfortable and the room was very relaxing.  We stayed in the Sorenson room, which was a little larger and had a couch.  They offered a small bookshelf of books and Madison magazine (which helped us to find our restaurant the next day).  The Sorenson room also offers a private bathroom with a claw-foot tub that is over 110 years old (but has excellent water pressure).  Shampoo, soap, body gel, bath salts (I think that's what they were), and even a hairdryer are all provided.  This was nice since we forgot a couple of those things.  

For the breakfast portion, we had a spinach and cheddar quiche that was the fluffiest damn quiche I've ever had.  Pardon my French! My fiance is a Vegetarian and it was extremely easy to make.  He also had a myriad of drink options.  Some ready to be poured, some in waiting.  Also, for me (the non-vegetarian), he made an incredible side of bacon.  It was sprinkled with brown sugar and then generously peppered.  Then it was baked.  Then it was devoured with great speed.  Seriously, this was heavenly.  Also, there was a delicious pear and cranberry compote for each of us. 

Craig and his beautiful (and friendly) dog joined us for breakfast and some wonderful conversation.  He is a true gentleman and an excellent host.  

My fiance and I are planning another trip in the spring and we'll be sure to stay with them again.  I could't recommend this place enough.",review,0,R-kP641Frh1NUAftXUAEJA
138,XrzTVrJAjs0yYLvhFI9vkQ,0,2012-07-19,0,RoYo8rE2TREB-sfrHEBfKA,5,"What a wonderful place Craig runs! So happy we chose to stay at The Parsonage for a girls weekend to Madison.

The highlights:
- Location: While the B&B is about 25 minutes from downtown Madison, it's very easy to get to. The perk of being off the beaten path is, well, being off the beaten path. 
- Price: The three of us chose the top floor Reverend's Retreat, which can actually sleep up to 6. It had the feel of your parent's attic, but in a good, comfortable way. For the Friday & Saturday night, it was about comparable to what we would've paid to stay at a fancy-pants place in Madison.
- Food: Oh my goodness, can Craig cook! The breakfasts alone would've been worth $20/person at a restaurant. Definitely try the juice blend - you won't look at orange and cranberry juice the same way again. 
- The company: On the weekend we were there, we (late 20s/early 30s) had the pleasure of staying with younger groups of people. Chatting at the communal breakfast table was a nice perk and a great way to get some new tips on what to see & do in Madison. And, Craig and his wife have two lovely dogs. 

If you're in town, definitely look up & consider The Parsonage.",review,0,ECOZNokNazcdgocyCRJw6g
139,XrzTVrJAjs0yYLvhFI9vkQ,0,2012-07-28,0,ZPQnj41gRJPcqTWqPPNMIw,5,"My 8 year old daughter and I stayed at the B&B this past weekend.  We stayed in the Sorenson room which was the right size for us.  It had an attached, good sized bathroom which was great, and my daughter loved that she got to take a bath in a tub that was over 100 years old.  (The water pressure is great by the way).  There was an assortment of soaps, shampoos, bubble baths etc in the bathroom too.  The room and bathroom were clean and spotless.  Craig was extremely nice, helpful, and whipped up a killer breakfast.... a brown sugary, apple, cranberry, upside down baked french toast kind of concoction, homemade pumpkin bread, fresh watermelon, and sausage links.  He was very accomodating and asked us the night before if there were any allergies or food issues that he needed to know about.  The price was very affordable, and the next time I'm in the area I'll be staying there instead of a hotel.  : )",review,0,Hr5EjzXbj8osJlE-ZZlIKw
140,XrzTVrJAjs0yYLvhFI9vkQ,0,2014-03-17,0,r4srdOnmWSdB49AtXV94uw,5,"Loved staying here.  We were going up to Madison for the day and found this place through a quick Google search of Madison-area B&B's.  Craig (the owner) was so helpful and friendly when I called to inquire about prices and availability.  He was also awesome and asked about our dietary preferences (I'm a vegetarian who's also temporarily gluten-free, whereas my boyfriend will eat anything) and promised to have a yummy breakfast we would both love.  When we got to The Parsonage, I was so happy we decided to stay there instead of in Madison proper.  It was quiet and cozy.  We picked the Mentor room which had a big awesome jacuzzi tub in there, and also a really nice outdoor patio (which was covered in snow, but i bet will be awesome when spring comes!).   Our bed was SO COMFORTABLE, i think i actually miss it.  Since our room didn't have a shower (which we knew when we booked - well worth it to have that awesome bathtub!), I used the shared bathroom on the second floor which was also very nice and cozy.  Breakfast the next day was so nice.  Craig made homemade cranberry orange muffins with a cheesy kale egg dish - so yummy!  Everyone else got delicious smelling bacon, and Craig very awesomely made me veggie breakfast sausage.  There was also pineapple, juice, and a really great tea selection.  The conversation was also really nice - I like that we all ate together (me, my boyfriend, Craig, and the 5 other guests who were staying there.  Great people and great company.  Next time we are in the Madison area, we will definitely stay here.  Craig, thanks for all the hospitality!  From Denise and Justin",review,1,xIbUUfdIZJ8wOlp_Aa6m_w
141,XrzTVrJAjs0yYLvhFI9vkQ,0,2014-05-31,0,2ueWVgacIwsV-bDzRkVOpw,5,"Parsonage was a perfect fit for my recent trip. What it is: warm, quaint, charmingly old, affordable, homey, accommodating of diet. What it is not: posh, uber-modern, sleek, extravagant.
Has wifi. Has a (very well-mannered & clean) dog. Street parking. Does not have private bathrooms for each room, so be sure to check on that when booking if it's important to you.

Craig the owner and Coriander the springer spaniel were a warm greeting party. Craig went out of his way to make me feel comfortable with the house, the amenities, where to find him if I needed something, etc. I called him later that night after I realized I had accidentally left without a key, and he told me exactly where he would hide one outside for my return. It felt less like paid lodging, and more like staying with distant relatives. 
Our group had some gluten-sensitive members and some lactose-sensitive members, so Craig made sure that each breakfast had options for everyone. One morning, the power went out around 5am before he could cook the breakfast casserole, so he ran down to a bakery and brought back an improvised meal of fruits and a kringle (?), a local specialty. The weather was nice, so we spent plenty of time on his newly renovated screened-in porch listening to music while we sipped coffee and rubbed Coriander's belly.",review,0,1FsUY1f4MZmPHdrwYZ6V3w
148,zOc8lbjViUZajbY7M0aUCQ,0,2010-10-06,0,DwiXg11ZgnlF4GAfQ0yDuw,5,"We went there for the first time yesterday, and I would definitely recommend Spartan Pizza.  Here's why:
- the crust is thin, crunchy on the bottom, chewy on top
- the sauce is sweet and savory
- the cheese is rich and delicious
- the veggies were fresh and tasty

We ordered the Canadian bacon deluxe (with onions, green peppers, green & black olives, and mushroom too I think).  The Canadian bacon tasted like real meat and is among the best I've had ... not at all like that heavily processed stuff you usually get at the store.  The CBD is naturally quite salty from the bacon and olives but I like that.

We also had the small salad which was just iceberg lettuce and tomatoes, but what can you expect for $2?  I'd bet the pizza salad is much better.

The service was casual and friendly.

In regards to the atmosphere, we ate in the parlor booth area which is clean enough and family-friendly but quite dated in appearance.  We left through the adjoining room which is a bar that has been added on and is much more modern and was populated by locals drinking and eating dinner around the bar.

I should also note that the plates for eating pizza are plastic.  This is a ""no frills"" kind of place.",review,1,LVW_8tSvxMgIOaTeOvtteA
151,UgjVZTSOaYoEvws_lAP_Dw,0,2013-04-16,0,qWHIBzDnJpX32D2NpTyRsw,5,Best Chinese food madison! I've tried them all and make the 15 minute drive every week :-),review,0,jQtmbZmOvfYb4lAkoXMCkQ
154,UgjVZTSOaYoEvws_lAP_Dw,0,2014-02-18,1,UB48XPeYsvvWzYXeV7WsaA,5,"Main Moon is hand's down my favorite place to grab Chinese in McFarland, but really anywhere. No matter what time of day, day of the week, or week of the year - it only takes 15 minutes to get your food. Freshly made each time too. Don't order from the pictures, order from you heart. The staff is so friendly, I'm thinking about proposing in the near future, as I hope to be a part of their family like they've been a part of mine. I just can't even talk about the lunch buffet, I'll start tearing up with how amazing the deal is. Andddd, I just shed a tear. Yum yum yum in my tum tum tum. Miss you, Main Moon xoxox",review,2,hvSlzpUUdKq7qO8uvwPqOQ
155,UgjVZTSOaYoEvws_lAP_Dw,0,2014-02-19,0,nFPe7kazeEVjPP7zgoK4Og,5,"Main Moon has the best lunch in McFarland, buffet style. Friendly service, gloriously large takeout menus, and sauces like no one else. Try their fried pork dumplings, crab Rangoon, or General Tso's. Their fried rice is legit. All portions are generous. Until secondary Moons are established, make your lunar landing as soon as you can. Delicious.",review,1,iOPfu26Siat3sx-8SM63OQ
156,UgjVZTSOaYoEvws_lAP_Dw,0,2014-03-03,0,b_gnK6JS0BHardzlgdZoKg,5,"Leaps and bounds better than other chinese food in the Madison area. Their lunch buffet is a great value. The general tsao's is to die for.

Don't miss out on this fantastic food.",review,2,WLqxkkd-jJ4cuoyqRBTw_w
